16-Jun-2022 SHow Spectra 
Wavelength,UHP-T-670-SR,UHP-T-545-LA21,UHP-T-620-SR,UHP-T-405-EP,UHP-T-450-EP,UHP-T-488-SR,UHP-T-520-EP,UHP-T-650-EP
619.5,0.00023310676375757562,0.0025390308884886397,0.7373288952774735,2.7444800830890265e-7,4.161582835164159e-9,8.383723527957845e-7,0.000053334770600531825,0.0010460436989347005
620,0.0002258948054712725,0.0024013317647605635,0.760866529642225,3.218262824460394e-7,1.1514798479671606e-9,9.135404412330972e-7,0.0000569162436953775,0.0011518290636577536
620.5,0.00022283539987696883,0.0023260451996574808,0.7838965035923476,3.966358873241975e-7,0,9.348291613716594e-7,0.000057460108790802215,0.00128873723789499
621,0.0002131293430276114,0.002233217987253785,0.8065249918332708,4.591780477271382e-7,0,9.541418347392705e-7,0.00005808563830169027,0.0014460753601071726
621.5,0.0002023234462920969,0.0021580621671587015,0.8283333176292688,4.7375493082074005e-7,0,9.387351996258611e-7,0.000057054824472766364,0.001609293261350944
622,0.00019359841662011193,0.002084198147077177,0.8485142732407873,5.394985066361845e-7,0,9.338608695639832e-7,0.000055317970368295136,0.0017809950722477246
622.5,0.00019796627520878523,0.0019976249320002603,0.8676094424506889,6.291428929608098e-7,0,9.493828659075954e-7,0.00005412615648565963,0.002028709659441851
623,0.00019953844951082735,0.001930338292404341,0.8854645901182918,6.505198927374817e-7,0,9.706975461174658e-7,0.00005460277644555795,0.0022914638999622992
623.5,0.00020149109094137583,0.0018724433659219042,0.9013855537978165,5.777656106786157e-7,0,9.61465363554594e-7,0.000053834143797708705,0.0025853606524903093
624,0.0002031093536247338,0.0017982521948436145,0.9147847231073989,4.953146881654368e-7,0,9.3515478004142e-7,0.000052757693671886096,0.0028760338092198162
624.5,0.00020482289355657353,0.0017929700055632797,0.925274320108454,4.077134591848407e-7,0,8.761310350542095e-7,0.00004850940291148109,0.003267568372783702
625,0.00021247753281728948,0.0017866095873927692,0.9326203314256355,2.9808602883665016e-7,0,8.186768603717414e-7,0.00004499303084351624,0.003681091510376535
625.5,0.00021841230874063817,0.0017725141962359988,0.9366150317336609,1.9861987687133301e-7,0,7.291008573650389e-7,0.00004038766275356894,0.004230912882872401
626,0.00022619641981394144,0.0017574950262581608,0.9356162567890524,1.591273899822231e-7,0,6.471159800520009e-7,0.000035448452898501535,0.00478333994819499
626.5,0.00024143204634168304,0.0017596426914756804,0.9308726208106197,1.3631783053329772e-7,0,5.729382885215091e-7,0.000029680843002533967,0.005561321744775287
627,0.0002592363582009168,0.0017621472897480627,0.9203307272321731,1.3749798973031085e-7,0,5.106757545061764e-7,0.00002505377565779202,0.00635141823621339
627.5,0.0002688031331021861,0.0017589026481550048,0.9055026520609673,1.3588802486855376e-7,0,4.7278086875459545e-7,0.000022653621340597044,0.007409833118880767
628,0.00027828135432618803,0.0017563065572144738,0.8841942396532744,1.2880767959842856e-7,0,4.3727732032255886e-7,0.000019936459678580495,0.008573250682809766
628.5,0.00029828324938870255,0.0017419289888125037,0.8583360733387341,1.107496161174907e-7,0,4.283202987221987e-7,0.000019229216555047452,0.010200667899717278
629,0.00031671036880085416,0.0017268153064099537,0.824846327888193,1.3862746417431814e-7,0,4.1916847926456243e-7,0.000018971158649024424,0.011936253817662994
629.5,0.00034055332335298675,0.0017236674329929897,0.7878316349716574,1.7030951492956234e-7,0,4.4659421245032296e-7,0.00001974601337577887,0.014543398135890055
630,0.000362878280322396,0.0017193869019396912,0.746333607284204,2.2913758751172565e-7,0,4.746765587845362e-7,0.00002002247655853713,0.01739135036914912
630.5,0.0003883158473255392,0.0016951102760901322,0.7032471253869088,3.057178844541494e-7,0,5.583793263433432e-7,0.00002079437637356229,0.02090224238374214
631,0.0004095707860966454,0.0016705549164908213,0.6559956066451004,3.4004468370647435e-7,0,6.47098528177109e-7,0.000022444497808321756,0.024551301406136632
631.5,0.00044043518108087407,0.0016191355365522224,0.6086638039221093,3.588435184868233e-7,0,7.25078927702856e-7,0.00002536019174713035,0.02958470938412718
632,0.000475017828433719,0.0015705419098351718,0.5570423592966204,3.94274535632602e-7,0,8.001630948604609e-7,0.00002888086661295566,0.03481196230787012
632.5,0.000504156736015744,0.0015036844127822926,0.5069517209073565,4.235854427811988e-7,0,9.447768085802835e-7,0.000034001745306637094,0.04205533603185834
633,0.0005397348167159866,0.0014384146895555258,0.4563046124808523,4.4116480563125705e-7,0,0.0000010804222205468565,0.00003908685614240174,0.04969545858498463
633.5,0.0005805105250151414,0.0013446361747389596,0.40858469915290174,4.5290792999857355e-7,0,0.0000012210027916568248,0.000043431127021978945,0.058992088581868544
634,0.0006226579953515801,0.001253824077167093,0.36122184340772373,5.039995358320164e-7,0,0.0000013544368869724714,0.00004642517760475178,0.0687255172208039
634.5,0.0006877163225551147,0.0011958707804760292,0.31777873639203824,4.912290182938561e-7,0,0.0000015037492884182572,0.00005025373423974028,0.08062963171105167
635,0.0007459998868871666,0.0011393903725867773,0.27661151516699156,4.0812730753736354e-7,0,0.0000016470734837697625,0.00005742006025304301,0.09305203048026661
635.5,0.000807844763162517,0.0010927381096788216,0.23944605969317193,3.077259180765613e-7,0,0.0000018227232842665548,0.00006709270948987453,0.10779139539616872
636,0.0008685064687197177,0.0010503685077921446,0.2054530442838988,1.8171948012247827e-7,0,0.0000020191427926696,0.00007335244059232216,0.12353912219710965
636.5,0.0009346505631964907,0.0010135565524742227,0.1752900935888225,7.523350087936685e-8,0,0.0000021275253562061666,0.00007422293539019417,0.1408460160824014
637,0.0010031249475978593,0.00097900065808514,0.14641417737153528,2.3718242629911085e-8,0,0.000002237709580917138,0.00007189535459301543,0.15935729977647853
637.5,0.0010972430649973295,0.0009455486188188435,0.12113954307790434,0,1.6562097135629878e-8,0.0000022937931994921778,0.0000671095354243342,0.18219345177777974
638,0.001203702965502002,0.0009126710503853453,0.09845383344161378,0,3.917451099380001e-8,0.000002350603525980232,0.00006371043808150246,0.2066836815902623
638.5,0.0013037012189329867,0.0008820342352952596,0.0787594144609578,3.181752059662238e-8,2.171069247770642e-8,0.000002397048638006741,0.000058785805366815,0.23433066581565284
639,0.0014214795079910735,0.0008503904901951919,0.0603524828799371,3.4961674299688126e-8,0,0.000002428402486812842,0.00005513103994515562,0.2634145573418259
639.5,0.0015476114903121962,0.0008530938647583157,0.04453162287632727,0,0,0.0000023891338602494408,0.00005001246811264029,0.29764476123036887
640,0.0016892603339423264,0.000856213278762815,0.03237028697321073,0,0,0.000002333578736137993,0.000044520942394770484,0.3336306518293895
640.5,0.0018530890534815695,0.0008381964018401331,0.02195065918717336,0,1.07379823683923e-10,0.0000022530580063484893,0.00003870171543633571,0.36798205531608824
641,0.0020188941454941144,0.000818562292920065,0.015305805570973234,1.4209651610126478e-10,0,0.0000021706092303792034,0.000033501368425693724,0.4039001397753822
641.5,0.0022183476542003856,0.0008258932014008302,0.009627320899156949,1.906058304205014e-8,0,0.000001943483957849314,0.00003129072126495307,0.433753148630144
642,0.002426909849768248,0.0008320563659780939,0.007293056621492072,1.6386822582774863e-8,0,0.0000017386387167242653,0.000028814474189646532,0.46381158255799504
642.5,0.0026899564221320284,0.0008321863998815396,0.005289677040561575,4.2535266632483276e-8,0,0.0000016033065626987677,0.00002854179580014298,0.4848771781588084
643,0.0029514454450960694,0.0008313493804528368,0.004439112852013322,7.599907454606721e-8,0,0.0000014782731660163265,0.00002624431782976376,0.5063627205369259
