Wavelength,UHP-T-405-EP,UHP-T-435-SR,UHP-T-488-SR,UHP-T-545-LA21,UHP-T-596-LA21,UHP-T-630-SR,UHP-T-670-SR,UHP-T-730-SR
301.5,0.001406334,0.002639847,0.004850299,0,-7.63E-06,0,0,0
302,0.001323009,0.002662835,0.004820359,0,2.66E-05,0,0,0
302.5,0.001232491,0.002716475,0.004820359,0,7.60E-05,0,0,0
303,0.001148266,0.002750958,0.004820359,0,0.000101645,0,0,0
303.5,0.00112249,0.002808429,0.004820359,0,0.000143421,0,0,0
304,0.001101808,0.002808429,0.004790419,0,0.000128618,0,0,0
304.5,0.0011108,0.002770115,0.004760479,0,7.80E-05,0,0,0
305,0.001100609,0.002770115,0.004790419,0,0.0000625,0,0,0
305.5,0.001027475,0.002739464,0.004790419,0,3.05E-05,0,0,0
306,0.000985213,0.002693487,0.004760479,0,-2.60E-06,0,0,0
306.5,0.00090009,0.002681992,0.004700599,0,-1.27E-05,0,0,0
307,0.000809871,0.002666667,0.004700599,0,-2.11E-05,0,0,0
307.5,0.000800879,0.002704981,0.004640719,0,2.90E-06,0,0,0
308,0.00081077,0.002754789,0.004640719,0,2.13E-05,0,0,0
308.5,0.000841043,0.002793103,0.004640719,0,1.42E-05,0,0,0
309,0.00086682,0.002796935,0.004700599,0,-3.91E-05,0,0,0
309.5,0.000889899,0.002789272,0.004790419,0,-0.000102632,0,0,0
310,0.000896193,0.002835249,0.00488024,0,-0.000111184,7.80E-06,0,0
310.5,0.000862024,0.002827586,0.00491018,0,-0.000140789,4.24E-05,0,0
311,0.000807773,0.00283908,0.00497006,0,-0.000146382,0.000105348,0,0
311.5,0.000776001,0.002904215,0.00502994,0,-0.000103947,0.000148202,0,0
312,0.00073284,0.002969349,0.00505988,0,-7.27E-05,0.000224533,0,0
312.5,0.000695674,0.003030651,0.00508982,0,-5.43E-05,0.000333941,0,0
313,0.000651913,0.003111111,0.00511976,0,-3.12E-05,0.000433858,0,0
313.5,0.000665101,0.0031341,0.00508982,0,-6.15E-05,0.000487804,0,0
314,0.000648017,0.003103448,0.00511976,0,-0.000132895,0.000518823,0,0
314.5,0.000591068,0.003088123,0.00511976,0,-0.000184868,0.000521339,0,0
315,0.0005551,0.003045977,0.00511976,0,-0.000236513,0.000523225,0,0
315.5,0.000546408,0.003019157,0.00511976,0,-0.000246053,0.000522939,0,0
316,0.000634529,0.003003831,0.00511976,0,-0.000236513,0.000545867,0,0
316.5,0.000731941,0.003049808,0.00508982,0,-0.000170724,0.00056405,0,0
317,0.00082246,0.00310728,0.00508982,0,-0.000104605,0.000565708,0,0
317.5,0.000923469,0.003149425,0.00508982,0,-6.32E-05,0.000561763,0,0
318,0.000954641,0.003191571,0.00508982,0,-4.24E-05,0.000538234,0,0
318.5,0.000996903,0.003229885,0.00508982,0,-6.35E-05,0.000472738,0,0
319,0.001032271,0.003229885,0.00511976,0,-0.000113487,0.000321591,0,0
319.5,0.001131182,0.003229885,0.00508982,0,-0.000140789,0.000159552,0,0
320,0.001225297,0.003222222,0.00508982,0,-0.000138487,4.60E-05,0,0
320.5,0.00126666,0.003141762,0.00511976,0,-0.00016875,1.97E-05,0,0
321,0.001272654,0.003084291,0.00511976,0,-0.000163487,4.79E-05,0,0
321.5,0.00126666,0.003042146,0.00508982,0,-0.000142105,7.28E-05,0,0
322,0.001249275,0.002996169,0.00502994,0,-0.000135197,6.57E-05,0,0
322.5,0.001131781,0.002931034,0.005,0,-0.000163487,4.74E-05,0,0
323,0.001036167,0.002896552,0.005,0,-0.000192763,4.29E-05,0,0
323.5,0.001002298,0.002885057,0.00494012,0,-0.000198684,3.18E-05,0,0
324,0.000947447,0.002823755,0.00488024,0,-0.000241118,0,0,0
324.5,0.000928864,0.002766284,0.004850299,0,-0.000269079,0,0,0
325,0.000900689,0.002724138,0.00488024,0,-0.000272039,0,0,0
325.5,0.000879708,0.002659004,0.00494012,0,-0.000281579,0,0,0
326,0.000835348,0.002586207,0.005,0,-0.000283553,0,0,0
326.5,0.000734938,0.002597701,0.00502994,0,-0.000205921,2.64E-05,0,0
327,0.000739135,0.002570881,0.00505988,0,-0.000163158,7.52E-05,0,0
327.5,0.000835048,0.002532567,0.00508982,0,-0.000147697,0.00010086,0,0
328,0.000947147,0.002498084,0.00505988,0,-0.000167434,6.91E-05,0,0
328.5,0.001059846,0.002482759,0.00508982,0,-0.000199013,7.89E-05,0,0
329,0.00118903,0.002452107,0.00508982,0,-0.000267105,0.000101117,0,0
329.5,0.001236387,0.002436782,0.00502994,0,-0.000328618,0.000126732,0,0
330,0.001257668,0.002448276,0.00497006,0,-0.000348684,0.000166671,0,0
330.5,0.001296933,0.002444444,0.00494012,0,-0.000358553,0.000236483,0,0
331,0.001343091,0.002429119,0.00491018,0,-0.000348684,0.000343461,0,0
331.5,0.00137756,0.002429119,0.00494012,0,-0.000315461,0.000313615,0,0
332,0.001401538,0.002448276,0.00497006,0,-0.000255263,0.000241258,0,0
332.5,0.001445898,0.002394636,0.005,0,-0.000262829,0.000208924,0,0
333,0.001535518,0.00235249,0.00505988,0,-0.000268421,0.000193944,0,0
333.5,0.001533719,0.002340996,0.00505988,0,-0.000255263,0.000134451,0,0
334,0.001498651,0.002340996,0.00505988,0,-0.000241447,0.00011464,0,0
334.5,0.001442002,0.002390805,0.00505988,0,-0.000194408,8.14E-05,0,0
335,0.001335897,0.002425287,0.00502994,0,-0.000169079,0.000008405,0,0
335.5,0.001209112,0.002455939,0.00502994,0,-0.000156908,0,0,0
