wl,F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR
674,0.086902783,0.037636107,0.024067417,0.024366694,0.039406807,0.016975883,0.13207689,0.991814223,0.917699004,0
676,0.0902435,0.039305222,0.024944861,0.024746772,0.040888501,0.016549449,0.115791002,0.996164405,0.921995891,0
678,0.093126181,0.040500971,0.025637973,0.02427651,0.04276094,0.015426017,0.106193293,1,0.925264042,0
680,0.094863284,0.041046,0.026005533,0.023313911,0.044309175,0.014328928,0.100786055,0.998591078,0.930195304,0
682,0.094145155,0.041274102,0.026295623,0.022438213,0.046630929,0.014220456,0.094347437,0.988113994,0.933527835,0
684,0.093122808,0.042061106,0.026921186,0.022284226,0.048484163,0.014945556,0.084223762,0.973584972,0.937270564,0
686,0.093486727,0.043186028,0.028117968,0.022775009,0.049112583,0.01567157,0.073071423,0.954594051,0.940694084,0
688,0.093105097,0.044404021,0.029380485,0.022886204,0.048047748,0.016524574,0.066252763,0.928887774,0.943035071,0
690,0.09384913,0.045928816,0.030077865,0.022317267,0.045325316,0.017234997,0.062733338,0.898913322,0.945174279,0
692,0.091679751,0.047035164,0.03140817,0.021639737,0.042549496,0.017943716,0.05935686,0.865797471,0.947488198,0
694,0.086275241,0.047522323,0.032970319,0.02060893,0.041426748,0.018917652,0.05381446,0.828744789,0.949959546,0
696,0.08259098,0.048331572,0.033982875,0.02093837,0.040829717,0.020021122,0.047555238,0.786982671,0.952139699,0
698,0.079479473,0.049438919,0.0356041,0.021141786,0.040185876,0.020980812,0.043789578,0.738291682,0.95497615,0
700,0.078235602,0.050353941,0.037304283,0.021353122,0.038971462,0.021810092,0.042270128,0.684589494,0.957638592,0
702,0.076142535,0.052103743,0.038932192,0.02211564,0.036156135,0.021988999,0.041329718,0.625707242,0.960752506,0
704,0.075331407,0.052526802,0.040708525,0.02251631,0.033171364,0.021779362,0.039471424,0.564259078,0.963580438,0
706,0.074375055,0.053372097,0.042258419,0.022683101,0.031592687,0.02196912,0.035626584,0.507796045,0.965575873,0
708,0.072720279,0.051890382,0.043497591,0.022612231,0.031298365,0.022548423,0.032426989,0.45590408,0.968081824,0
710,0.071801297,0.050732063,0.044587408,0.023201382,0.031061766,0.023904722,0.031178656,0.398848344,0.969491009,0
712,0.072345529,0.049711013,0.045546994,0.024276366,0.03099112,0.025784166,0.030800507,0.337945013,0.971479032,0
714,0.073618193,0.049112861,0.046366727,0.024881145,0.031028402,0.02805048,0.030894363,0.282436701,0.972778196,0
716,0.077387625,0.049642023,0.047280079,0.025613379,0.030449214,0.029807784,0.029777052,0.241764668,0.974943378,0
718,0.080659716,0.050496238,0.047838476,0.026711706,0.030177879,0.031704643,0.027760222,0.213523473,0.97789726,0
720,0.084807881,0.052451479,0.047869596,0.027218368,0.030730693,0.033727149,0.026435674,0.185341973,0.980875652,0
722,0.087368377,0.053404323,0.046244822,0.027311833,0.031766744,0.036771765,0.025724852,0.153213818,0.983872024,0
724,0.090337985,0.05349317,0.043750224,0.026834324,0.032678599,0.040607032,0.025719486,0.12375776,0.985965416,0
726,0.093329423,0.053395246,0.04134217,0.027012297,0.033259977,0.045348406,0.025109905,0.104165335,0.988589564,0
728,0.095829442,0.054217441,0.040982479,0.027200404,0.033902359,0.049339857,0.02321139,0.092609826,0.98942692,0
730,0.100089486,0.055239857,0.041375704,0.027742528,0.033674013,0.05051346,0.021311082,0.082987575,0.98967902,0
732,0.1045893,0.057397464,0.04224601,0.028360509,0.032932081,0.045044589,0.020108592,0.072692528,0.989927491,0
734,0.10877903,0.060079196,0.043509026,0.02839705,0.032635069,0.033794846,0.020211058,0.059326942,0.989761843,0
736,0.113372737,0.061986347,0.044791146,0.028858552,0.032785878,0.025870472,0.020704391,0.047066571,0.989801606,0
738,0.114847351,0.06372609,0.045263432,0.028918597,0.033048786,0.023344768,0.02105484,0.039284,0.990125263,0
740,0.117776979,0.064077171,0.045521443,0.029224413,0.033028621,0.023787284,0.021104156,0.034684151,0.991429482,0
742,0.120572015,0.065052662,0.046325197,0.030075949,0.032576206,0.024497024,0.021622204,0.030963216,0.993127682,0
744,0.124325178,0.06666977,0.047305738,0.031483574,0.030466836,0.025481036,0.021687498,0.02627876,0.994522848,0
746,0.128506799,0.068831246,0.048463593,0.032911994,0.027764523,0.026219984,0.022383049,0.021633897,0.996736713,0
748,0.131507932,0.07093125,0.049955399,0.03454359,0.025695298,0.027366664,0.023325833,0.018467373,0.997568866,0
750,0.133850965,0.073171912,0.051164938,0.036380114,0.024758686,0.028925108,0.02443978,0.017455863,0.998709267,0
752,0.133887576,0.075035105,0.052007683,0.038057666,0.024218183,0.02984276,0.025725789,0.017167544,0.999779784,0
754,0.131420435,0.075490188,0.052329319,0.039274318,0.023881056,0.030911233,0.026794799,0.017126078,1,0
756,0.12568626,0.075770424,0.051733501,0.041254594,0.023348474,0.032268675,0.027805084,0.017090751,0.999557794,0
758,0.117258705,0.074877093,0.049529298,0.042930154,0.022480092,0.034077998,0.028536387,0.016826516,0.999262395,0
760,0.112549971,0.074894913,0.047347802,0.044549383,0.021215803,0.035947859,0.029549345,0.016638623,0.997445071,0
762,0.111204972,0.074091885,0.046046571,0.046519896,0.019963514,0.037941705,0.030383256,0.016305884,0.996698809,0
764,0.114492697,0.075599423,0.045917784,0.049126353,0.018481636,0.040082082,0.031704627,0.016528353,0.996477524,0
766,0.116715191,0.077251171,0.04644593,0.051396286,0.017765378,0.042120647,0.033131826,0.0170105,0.995569742,0
768,0.120443404,0.079994665,0.04703834,0.053568964,0.018107765,0.043545538,0.034536689,0.017774992,0.996648958,0
770,0.124944876,0.082218531,0.048022766,0.05545141,0.018423508,0.044203763,0.03542024,0.018443581,0.996682243,0
